q0,deltaQ0,wMu,firstmoment,secondmoment,thirdmoment,skewness
0.277,0.001,0.24081632653061225,0.284653,0.0811,0.023162,2.55161
0.277,0.001,0.24673469387755104,0.285017,0.0814,0.02326,2.546016
0.277,0.001,0.25265306122448977,0.285389,0.0816,0.023361,2.539935
0.277,0.001,0.25857142857142856,0.285768,0.0818,0.023464,2.533372
0.277,0.001,0.26448979591836735,0.286155,0.082,0.023571,2.526312
0.277,0.001,0.27040816326530615,0.286549,0.0823,0.02368,2.518721
0.277,0.001,0.2763265306122449,0.286951,0.0825,0.023792,2.510551
0.277,0.001,0.28224489795918367,0.28736,0.0828,0.023907,2.501741
0.277,0.001,0.28816326530612246,0.287777,0.083,0.024025,2.492223
0.277,0.001,0.2940816326530612,0.2882,0.0833,0.024145,2.481927
0.277,0.001,0.3,0.288631,0.0836,0.024269,2.470781
0.278,0.001,0.01,0.278046,0.0773,0.021496,-0.391912
0.278,0.001,0.015918367346938776,0.278063,0.0773,0.0215,-0.347009
0.278,0.001,0.02183673469387755,0.278088,0.0773,0.021506,-0.273392
0.278,0.001,0.027755102040816326,0.278121,0.0774,0.021514,-0.168788
0.278,0.001,0.0336734693877551,0.278164,0.0774,0.021524,-0.037659
0.278,0.001,0.03959183673469388,0.278217,0.0774,0.021536,0.110333
0.278,0.001,0.04551020408163265,0.278282,0.0774,0.021551,0.27092
0.278,0.001,0.05142857142857143,0.278357,0.0775,0.021569,0.448092
0.278,0.001,0.057346938775510205,0.278444,0.0775,0.021589,0.645977
0.278,0.001,0.06326530612244897,0.27854,0.0776,0.021612,0.861969
0.278,0.001,0.06918367346938775,0.278647,0.0776,0.021637,1.086684
0.278,0.001,0.07510204081632653,0.278763,0.0777,0.021664,1.308046
0.278,0.001,0.08102040816326529,0.278889,0.0778,0.021694,1.515475
0.278,0.001,0.08693877551020407,0.279024,0.0779,0.021726,1.70206
0.278,0.001,0.09285714285714285,0.279169,0.0779,0.02176,1.86472
0.278,0.001,0.09877551020408162,0.279323,0.078,0.021797,2.003271
0.278,0.001,0.1046938775510204,0.279487,0.0781,0.021836,2.119283
0.278,0.001,0.11061224489795918,0.279659,0.0782,0.021877,2.215163
0.278,0.001,0.11653061224489795,0.279841,0.0783,0.021921,2.293573
0.278,0.001,0.12244897959183673,0.280032,0.0784,0.021967,2.357111
0.278,0.001,0.12836734693877552,0.280232,0.0785,0.022016,2.408163
0.278,0.001,0.13428571428571429,0.28044,0.0787,0.022067,2.448843
0.278,0.001,0.14020408163265308,0.280658,0.0788,0.02212,2.480975
0.278,0.001,0.14612244897959184,0.280884,0.0789,0.022175,2.506112
0.278,0.001,0.1520408163265306,0.28112,0.079,0.022234,2.52555
0.278,0.001,0.1579591836734694,0.281364,0.0792,0.022294,2.54036
0.278,0.001,0.16387755102040816,0.281616,0.0793,0.022357,2.551418
0.278,0.001,0.16979591836734695,0.281877,0.0795,0.022422,2.559433
0.278,0.001,0.1757142857142857,0.282146,0.0796,0.02249,2.564976
0.278,0.001,0.1816326530612245,0.282424,0.0798,0.022561,2.568508
0.278,0.001,0.18755102040816327,0.28271,0.08,0.022633,2.570394
0.278,0.001,0.19346938775510206,0.283004,0.0801,0.022709,2.570928
0.278,0.001,0.19938775510204082,0.283306,0.0803,0.022787,2.570346
0.278,0.001,0.20530612244897958,0.283617,0.0805,0.022867,2.568835
0.278,0.001,0.21122448979591837,0.283935,0.0807,0.02295,2.566545
0.278,0.001,0.21714285714285714,0.284261,0.0809,0.023036,2.563597
0.278,0.001,0.22306122448979593,0.284595,0.0811,0.023124,2.560084
0.278,0.001,0.2289795918367347,0.284937,0.0813,0.023215,2.556078
0.278,0.001,0.23489795918367348,0.285286,0.0815,0.023308,2.551629
0.278,0.001,0.24081632653061225,0.285644,0.0817,0.023404,2.546769
0.278,0.001,0.24673469387755104,0.286008,0.0819,0.023503,2.541512
0.278,0.001,0.25265306122448977,0.286381,0.0821,0.023605,2.53585
0.278,0.001,0.25857142857142856,0.28676,0.0824,0.023709,2.529762
0.278,0.001,0.26448979591836735,0.287148,0.0826,0.023816,2.523206
0.278,0.001,0.27040816326530615,0.287542,0.0829,0.023927,2.516128
0.278,0.001,0.2763265306122449,0.287944,0.0831,0.024039,2.508463
0.278,0.001,0.28224489795918367,0.288353,0.0833,0.024155,2.500136
0.278,0.001,0.28816326530612246,0.28877,0.0836,0.024274,2.491067
0.278,0.001,0.2940816326530612,0.289193,0.0839,0.024395,2.481176
0.278,0.001,0.3,0.289623,0.0841,0.02452,2.470389
0.279,0.001,0.01,0.278964,0.0778,0.02171,0.348695
0.279,0.001,0.015918367346938776,0.278989,0.0778,0.021716,0.317717
0.279,0.001,0.02183673469387755,0.279026,0.0779,0.021725,0.271234
0.279,0.001,0.027755102040816326,0.279075,0.0779,0.021736,0.213996
0.279,0.001,0.0336734693877551,0.279134,0.0779,0.02175,0.158055
0.279,0.001,0.03959183673469388,0.279202,0.078,0.021766,0.123051
0.279,0.001,0.04551020408163265,0.279278,0.078,0.021784,0.130419
0.279,0.001,0.05142857142857143,0.279362,0.078,0.021804,0.196091
0.279,0.001,0.057346938775510205,0.279455,0.0781,0.021825,0.325468
0.279,0.001,0.06326530612244897,0.279556,0.0782,0.021849,0.511588
0.279,0.001,0.06918367346938775,0.279667,0.0782,0.021875,0.737373
0.279,0.001,0.07510204081632653,0.279786,0.0783,0.021904,0.981261
0.279,0.001,0.08102040816326529,0.279915,0.0784,0.021934,1.223255
0.279,0.001,0.08693877551020407,0.280053,0.0784,0.021967,1.448709
0.279,0.001,0.09285714285714285,0.2802,0.0785,0.022002,1.649251
0.279,0.001,0.09877551020408162,0.280356,0.0786,0.02204,1.821794
0.279,0.001,0.1046938775510204,0.280521,0.0787,0.02208,1.966851
0.279,0.001,0.11061224489795918,0.280696,0.0788,0.022122,2.086944
0.279,0.001,0.11653061224489795,0.280879,0.0789,0.022166,2.185423
0.279,0.001,0.12244897959183673,0.281072,0.079,0.022213,2.265735
0.279,0.001,0.12836734693877552,0.281273,0.0791,0.022262,2.331031
0.279,0.001,0.13428571428571429,0.281483,0.0792,0.022314,2.384015
0.279,0.001,0.14020408163265308,0.281701,0.0794,0.022368,2.426921
0.279,0.001,0.14612244897959184,0.281929,0.0795,0.022424,2.461562
0.279,0.001,0.1520408163265306,0.282165,0.0796,0.022483,2.489392
